name,description,exchange,industry,close,high,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
XHLD,"TEN Holdings, Inc.",NASDAQ,Miscellaneous Commercial Services,10.46,10.54,8.33,5.69,14.2,13.24,4348415.2,5561563.5,58173954.0,46338020.0,37.63,10,720.39,2,623.88,1,460.63,6.34,True,True,True
USDE,StablecoinX Inc.,NASDAQ,Packaged Software,12.6,13.79,6.21,4.45,10.46,12.55,5847297.3,8155129.266666667,102754629.0,50680051.0,150.0,1,1147.52,1,17.21,195,438.24,14.59,True,True,False
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,26.1,26.5,23.05,18.21,6.39,6.89,1109868.7,2015758.6,52611299.0,46464580.0,25.48,29,95.21,13,387.85,2,169.51,6.29,False,True,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,85.98,88.98,69.05,71.33,5.37,7.15,2983996.9,2446958.5,210389492.0,168962484.0,27.79,22,1.25,200,377.67,3,135.57,2.87,True,False,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,36.49,37.03,36.8,30.62,7.03,7.18,1880867.9,1512120.6,55177281.0,55650070.0,7.64,99,136.64,3,259.51,6,134.6,2.67,False,True,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,30.33,31.95,21.75,17.88,6.5,6.5,10667209.8,9453707.7,286730955.0,205613416.0,71.74,3,113.59,5,197.06,11,127.47,10.7,True,True,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,12.05,12.24,11.42,10.67,6.22,6.94,2709909.3,2731165.433333333,32910543.0,31201289.0,12.51,66,32.56,78,302.34,4,115.8,1.87,False,False,True
SDGR,"Schrodinger, Inc.",NASDAQ,Packaged Software,30.24,31.03,20.7,18.71,5.95,5.35,2855838.5,1648243.2666666666,49842876.0,34126877.0,52.53,6,101.87,7,158.02,17,104.14,11.52,True,True,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,575.31,592.44,494.61,465.54,5.83,5.68,9526452.7,8722469.733333332,5018124062.0,4314185865.0,30.95,17,45.65,57,223.64,9,100.08,4.15,True,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.6,13.82,15.29,15.01,5.34,7.1,1773639.7,2466442.8,33543622.0,37704100.0,-16.1,377,31.91,81,275.69,5,97.17,-1.33,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.3,1.38,0.99,0.88,18.96,12.66,36449332.4,64927128.666666664,84405267.0,64159041.0,106.58,2,75.65,23,94.03,56,92.09,3.81,True,True,False
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,113.76,116.65,115.02,108.6,4.65,4.49,2640542.3,1420130.6666666667,161554065.0,163342009.0,-6.35,248,42.15,64,233.12,7,89.64,1.06,False,False,True
OKTA,"Okta, Inc.",NASDAQ,Packaged Software,191.33,192.22,161.13,153.97,4.74,4.97,4075978.0,3964313.2,758492045.0,638771768.0,40.97,8,65.7,31,145.48,25,84.05,4.88,True,False,False
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,37.01,37.13,32.93,30.39,5.09,5.43,2419502.9,1991980.4666666666,73723197.0,65586953.0,14.87,56,97.6,10,139.55,29,84.0,4.02,False,True,False
RNG,"RingCentral, Inc.",NYSE,Packaged Software,77.3,77.71,69.0,61.27,4.3,4.36,1488803.0,1447191.6666666667,111867916.0,99850919.0,18.45,41,120.98,4,108.64,46,82.69,6.0,False,True,False
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,54.31,54.93,50.01,52.76,7.85,7.81,994429.1,806167.5333333333,43782959.0,40318454.0,11.18,76,9.12,164,226.38,8,82.23,0.38,False,False,True
GTLB,GitLab Inc.,NASDAQ,Packaged Software,49.79,50.16,45.24,40.63,4.36,4.36,3893562.2,5350903.2,266421470.0,242076644.0,17.85,46,90.84,15,134.86,31,81.18,5.16,False,True,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.89,3.0,2.57,2.5,5.45,5.93,29450102.800000034,22762306.166666668,65783065.0,58392903.0,14.68,57,36.97,73,189.0,12,80.22,2.6,False,False,True
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,18.4,18.42,15.29,14.36,6.02,5.59,8570198.6,6319382.833333333,116276644.0,96642322.0,27.34,24,107.21,6,106.05,48,80.2,5.04,False,True,False
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,13.55,14.76,10.59,9.03,7.92,8.68,26127954.3,25196350.866666667,341410554.0,266867150.0,28.8,21,57.56,45,146.36,22,77.57,5.76,True,False,True
GRAL,"GRAIL, Inc.",NASDAQ,Medical Specialties,107.97,111.5,77.84,74.68,4.54,5.87,1487400.0,926696.7,100055443.0,72132836.0,36.88,11,79.95,19,114.65,41,77.16,7.59,True,True,False
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,249.35,250.31,216.55,208.33,5.05,5.34,12751145.2,11150574.266666668,2780395693.0,2414682875.0,30.59,20,49.09,52,149.99,21,76.55,3.68,True,False,True
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,32.39,33.16,32.34,27.17,4.72,5.73,1571067.8,2980442.966666667,96536548.0,96376597.0,-18.61,400,101.74,8,132.35,34,71.83,3.35,False,True,False
CVI,CVR Energy Inc.,NYSE,Oil Refining/Marketing,53.15,55.19,42.59,39.08,4.77,4.64,1339300.9,1072415.7333333334,56998896.0,45671684.0,46.9,7,101.33,9,63.19,94,70.47,7.76,True,True,False
HPE,Hewlett Packard Enterprise Company,NYSE,Computer Processing Hardware,61.75,63.86,55.74,52.73,5.96,5.87,26787568.8,23185868.26666669,1431727365.0,1292310740.0,15.85,53,33.51,77,153.18,19,67.51,2.91,False,False,True
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,54.91,55.58,52.63,54.9,4.04,6.12,1339158.0,1473867.5,80930064.0,77567190.0,5.98,116,-10.87,270,202.53,10,65.88,0.0,False,False,True
AMBQ,"Ambiq Micro, Inc.",NYSE,Semiconductors,71.09,71.26,61.2,64.94,4.58,5.62,743023.7,533321.2333333333,37913806.0,32640504.0,21.25,36,-13.36,285,177.37,13,61.75,1.69,False,False,True
ALAB,"Astera Labs, Inc.",NASDAQ,Semiconductors,340.74,343.0,295.01,303.93,5.44,6.83,4489111.4,3757592.9,1280362205.0,1108522471.0,15.98,52,-14.69,298,173.34,15,58.21,1.77,False,False,True
SNDK,Sandisk Corporation,NASDAQ,Computer Peripherals,1766.64,1834.49,1573.32,1501.22,5.09,6.52,9943951.0,12173346.366666667,21505920625.0,19152583508.0,10.08,82,-12.01,279,171.37,16,56.48,2.71,False,False,True
SMTC,Semtech Corporation,NASDAQ,Semiconductors,177.37,190.64,144.81,137.67,5.84,6.7,3850816.0,3395471.466666667,602254774.0,491704448.0,35.35,13,9.85,160,123.53,37,56.24,4.3,True,False,False
MRVL,"Marvell Technology, Inc.",NASDAQ,Semiconductors,257.38,261.18,227.59,216.38,4.03,5.7,19221338.2,22719822.533333335,5847627924.0,5170774117.0,1.98,157,-7.69,244,173.59,14,55.96,3.32,False,False,True
OSCR,"Oscar Health, Inc.",NYSE,Managed Health Care,31.29,32.16,31.36,30.75,5.88,5.97,6037229.0,5366663.266666667,167922894.0,168289616.0,-0.45,175,10.96,155,152.34,20,54.28,0.3,False,False,True
