name,description,exchange,industry,close,high,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
XHLD,"TEN Holdings, Inc.",NASDAQ,Miscellaneous Commercial Services,12.08,12.93,8.9,6.08,14.37,12.57,4460256.6,3789612.2333333334,45778516.0,33738286.0,58.32,4,866.4,1,874.19,1,599.64,7.85,True,True,True
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,25.97,29.15,23.73,18.85,7.17,7.72,1358276.6,1576119.7333333334,40931829.0,37404474.0,21.87,41,85.5,13,410.22,2,172.53,4.9,False,True,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,84.32,87.4,70.19,71.13,5.92,7.22,3004515.7,2506159.0,211319327.0,175914819.0,31.91,20,-4.31,211,399.23,3,142.28,2.57,True,False,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,28.99,29.83,22.86,18.57,6.73,6.7,10412900.8,9761620.1,282989367.0,223139247.0,54.53,5,123.52,4,189.9,16,122.65,8.38,True,True,True
TEAM,Atlassian Corporation,NASDAQ,Packaged Software,195.08,196.92,180.34,150.38,4.16,4.64,3331614.2,3883872.6333333333,757665873.0,700416943.0,15.23,64,146.47,2,191.12,15,117.61,6.41,False,True,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,33.91,37.49,36.94,31.24,8.31,8.12,1869234.4,1559757.1,52891363.0,57622626.0,2.6,145,88.08,12,235.74,7,108.81,1.05,False,True,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,11.54,12.28,11.3,10.75,6.93,7.19,2725180.9,2670602.2666666666,30818750.0,30180031.0,8.05,103,14.31,133,292.52,5,104.96,1.03,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,14.06,14.61,14.97,14.93,5.53,6.83,2051601.9,2441762.1333333333,34331176.0,36543819.0,-11.63,301,16.83,123,304.02,4,103.07,-0.85,False,False,True
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,13.94,14.2,11.08,9.3,7.69,8.08,26467995.5,26313776.366666667,366814043.0,291613655.0,27.07,24,73.82,21,195.03,14,98.64,6.17,False,True,True
OKTA,"Okta, Inc.",NASDAQ,Packaged Software,205.36,207.2,164.49,156.13,4.41,4.7,4543514.8,4164821.3666666667,855287716.0,685084655.0,53.01,6,72.95,22,169.32,21,98.43,6.71,True,True,True
