name,description,exchange,industry,close,high,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
CYPH,Cypherpunk Technologies Inc.,NASDAQ,Financial Conglomerates,4.12,4.19,2.22,1.6,12.49,10.65,21308647.6,15761505.866666667,64937404.0,35035043.0,157.5,4,610.34,1,533.85,1,433.9,14.81,True,True,True
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,31.68,33.01,24.22,19.67,7.41,7.82,2127434.9,1576737.5333333334,49951045.0,38184116.0,42.0,14,181.85,2,522.4,2,248.75,7.81,True,True,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,93.84,96.22,71.13,71.44,6.14,6.96,3375635.1,2664162.8333333335,250005040.0,189507231.0,43.2,12,4.06,193,455.6,3,167.62,4.5,True,False,True
CDNA,"CareDx, Inc.",NASDAQ,Medical Specialties,63.68,65.19,51.28,47.55,4.26,4.48,1427554.2,1229818.2666666666,78314827.0,63060571.0,26.98,30,128.65,7,267.24,6,140.96,7.57,False,True,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,29.44,30.07,24.01,19.27,6.33,6.4,9842525.8,9985403.766666668,293970287.0,239707939.0,42.08,13,171.09,3,194.4,16,135.86,8.25,True,True,True
USDE,StablecoinX Inc.,NASDAQ,Packaged Software,17.25,17.5,7.82,5.46,9.09,10.21,6823935.3,8832965.8,152368660.0,69107652.0,196.9,2,131.23,6,68.29,102,132.14,21.15,True,True,False
TEAM,Atlassian Corporation,NASDAQ,Packaged Software,187.74,194.81,182.31,154.3,4.28,4.67,3202805.9,3684260.2,691683010.0,671680547.0,15.9,63,149.32,5,180.17,19,115.13,4.64,False,True,True
GLND,Greenland Energy Company,NASDAQ,Financial Conglomerates,5.54,6.69,1.74,1.87,9.16,10.6,60824889.6,20851783.7,115518882.0,36368986.0,271.81,1,118.11,9,-57.22,446,110.9,18.6,True,True,False
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,34.3,36.41,36.98,31.9,8.63,8.26,2053627.7,1582390.1,54275980.0,58523115.0,-10.3,298,88.88,16,239.6,8,106.06,0.91,False,True,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,61.81,65.13,51.04,51.8,7.93,7.38,1071680.3,882099.4666666667,54522568.0,45021916.0,33.5,24,18.36,125,263.59,7,105.15,2.62,False,False,True
GRAL,"GRAIL, Inc.",NASDAQ,Medical Specialties,126.89,127.67,82.55,77.5,5.67,6.23,2069765.7,1109012.2333333334,140722562.0,91549699.0,56.89,8,93.55,12,148.8,30,99.75,10.22,True,True,False
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,11.11,11.75,11.2,10.82,7.51,7.78,2945956.2,2696509.3666666667,29958219.0,30199557.0,5.01,139,10.66,159,277.89,5,97.85,0.35,False,False,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,562.89,573.8,505.27,475.72,4.99,5.61,9565417.999999998,9076956.3,5109327932.0,4586277402.0,25.2,34,42.05,63,221.41,11,96.22,3.26,False,False,True
SDGR,"Schrodinger, Inc.",NASDAQ,Packaged Software,28.85,29.74,22.16,19.79,7.03,6.08,3475166.1,1781986.6,51410313.0,39492981.0,46.26,10,79.75,20,150.87,28,92.29,7.53,True,True,False
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.29,1.31,1.07,0.92,8.54,10.89,16439284.0,64975570.833333336,83818486.0,69844624.0,111.48,6,68.03,27,92.54,66,90.68,3.64,True,False,False
OKTA,"Okta, Inc.",NASDAQ,Packaged Software,195.19,205.0,167.81,158.19,4.97,5.08,4731336.7,4289406.333333333,837249222.0,719816000.0,52.49,9,63.56,31,155.99,22,90.68,4.6,True,False,True
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.94,2.96,2.62,2.58,5.21,5.67,30340521.400000036,23554888.36666667,69251372.0,61768769.0,10.53,93,58.06,36,203.09,14,90.56,2.47,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.19,13.75,14.53,14.89,6.1,7.07,1896220.2,2370101.1666666665,31261634.0,34438360.0,-13.51,327,2.05,200,279.02,4,89.19,-1.61,False,False,True
OMER,Omeros Corporation,NASDAQ,Pharmaceuticals: Major,20.08,20.61,18.71,16.02,4.46,4.8,1839082.0,1727464.9333333333,34687496.0,32322596.0,5.91,130,164.56,4,93.08,64,87.85,5.28,False,True,False
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,252.13,259.86,220.89,212.63,4.52,4.8,13773725.0,11514900.633333333,2903251897.0,2543468826.0,37.96,19,46.97,56,171.95,21,85.63,3.87,True,False,True
ALAB,"Astera Labs, Inc.",NASDAQ,Semiconductors,364.62,377.87,300.95,305.03,5.31,6.33,4573035.6,3803731.7,1386916652.0,1144734323.0,29.01,27,-4.66,239,228.49,9,84.28,3.08,False,False,True
RNG,"RingCentral, Inc.",NYSE,Packaged Software,76.16,79.94,70.89,64.25,4.29,4.38,1827049.9,1522441.2333333334,115949124.0,107921799.0,19.65,53,118.41,8,109.03,55,82.37,4.23,False,True,False
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,12.85,13.98,11.53,9.55,8.32,8.97,27194257.1,27740344.7,356463429.0,319786070.0,10.92,90,61.64,33,171.96,20,81.5,3.85,False,False,True
SECZ,Securitize Corp.,NYSE,Packaged Software,15.96,16.22,8.4,7.89,8.02,7.74,7215086.9,3708847.9,59193212.0,31167921.0,142.19,5,53.61,48,46.29,144,80.69,13.19,True,False,False
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,116.1,120.44,115.56,110.79,4.94,4.71,2622659.8,1421632.0,165051475.0,164285926.0,-5.28,229,38.68,75,204.8,12,79.4,1.02,False,False,True
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,35.77,37.79,33.48,31.33,5.85,5.76,3078092.6,2041547.7,73026161.0,68352038.0,13.7,75,80.66,18,142.02,35,78.79,2.46,False,True,False
PLSE,"Pulse Biosciences, Inc",NASDAQ,Medical Specialties,51.63,54.05,50.74,44.91,8.96,7.25,609077.4,604027.2,31185924.0,30649750.0,5.37,134,91.79,13,139.03,37,78.73,2.06,False,True,False
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,17.67,18.65,15.66,14.75,5.49,5.36,8966962.1,6370640.7,112569221.0,99787592.0,33.86,23,82.16,17,112.89,54,76.31,3.7,True,True,False
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,56.22,56.57,52.22,53.42,4.27,5.9,1517425.4,1481401.9,83284415.0,77352388.0,11.99,83,-11.04,282,223.1,10,74.68,0.89,False,False,True
AEHR,Aehr Test Systems,NASDAQ,Electronic Production Equipment,104.39,105.58,95.88,94.82,6.94,8.43,2320566.2,2670493.8333333335,278772851.0,256049619.0,10.33,95,9.31,161,204.17,13,74.6,1.2,False,False,True
